SUMMARY STATISTICS FOR: tesy.out

Analysis Start Date: 01/01/1961 
Analysis End Date: 31/12/1990 
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Median,Variance,Percentile,Sum
-
January, 0.452081720430107 , 3.8759 ,-3.19255 , 0.4568 , 1.24480812602775 , 2.2835375 , 14.0145333333333 
February, 0.42998412042503 , 3.82605 ,-2.94495 , 0.42415 , 1.19351099386529 , 2.23239 , 12.139885 
March, 0.317317311827957 , 3.3605 ,-2.94075 , 0.321825 , 1.05808106796844 , 2.00219 , 9.83683666666667 
April, 2.25149444444445E-02 , 2.79135 ,-2.64275 , 0.0172 , 0.740000812833272 , 1.4418675 , 0.675448333333333 
May,-0.212433440860215 , 2.3618 ,-2.6381 ,-0.217275 , 0.607795814861834 , 1.08302 ,-6.58543666666666 
June,-0.412257944444444 , 1.7831 ,-2.5437 ,-0.418475 , 0.470835404170802 , 0.720455 ,-12.3677383333333 
July,-0.485081612903226 , 1.37295 ,-2.4505 ,-0.482525 , 0.383325881949127 , 0.5330925 ,-15.03753 
August,-0.500235 , 1.31365 ,-2.3881 ,-0.4989 , 0.357190559472482 , 0.4711225 ,-15.507285 
September,-0.339096944444445 , 1.94555 ,-2.63415 ,-0.336875 , 0.516586051466482 , 0.845205 ,-10.1729083333333 
October,-8.36629032258065E-03 , 2.8394 ,-2.8381 ,-0.00545 , 0.821113090659556 , 1.4754325 ,-0.259355 
November, 0.285674388888889 , 3.6894 ,-2.95545 , 0.284875 , 1.12210474751031 , 2.0205825 , 8.57023166666667 
December, 0.444873924731183 , 4.144 ,-3.13665 , 0.439925 , 1.30091048449665 , 2.32415 , 13.7910916666667 
Winter, 0.442691281861839 , 4.3138 ,-3.42505 , 0.4422 , 1.24887300858548 , 2.28115 , 38.6569451612903 
Spring, 0.042683134057971 , 3.37895 ,-3.063 , 0.015525 , 0.850451210390733 , 1.60834 , 3.92684833333333 
Summer,-0.466440797101449 , 1.7935 ,-2.6461 ,-0.4702 , 0.404720501119067 , 0.580505 ,-42.9125533333333 
Autumn,-2.04618864468864E-02 , 3.6978 ,-3.0852 ,-0.058425 , 0.884913480976016 , 1.5919725 ,-1.86203166666667 
Annual,-2.4702747102309E-03 , 4.34015 ,-3.51165 ,-0.08175 , 0.949159183210242 , 1.7381 ,-0.902226666666666 
Standard Deviations of Results
January, 0.040712595914108 , 0.212502682336012 , 0.474006801111545 , 5.26918874211202E-02 , 6.41655308161077E-02 , 6.99635527882196E-02 , 1.26209047333735 
February, 2.86703186143679E-02 , 0.449906376371796 , 0.328567112626934 , 4.44581544826143E-02 , 5.82297409100747E-02 , 0.071108142290458 , 0.809458662212321 
March, 2.12168286481855E-02 , 0.329714497709761 , 0.300967419333057 , 3.68110971719127E-02 , 3.52266719565316E-02 , 6.21928705721161E-02 , 0.657721688093749 
April, 2.68814898944893E-02 , 0.346554797254345 , 0.285633309507137 , 3.69899986482833E-02 , 3.49663138807803E-02 , 4.84656405998106E-02 , 0.806444696834679 
May, 1.88277608603604E-02 , 0.328485098596573 , 0.264577568966078 , 2.49140898890568E-02 , 3.36132318250056E-02 , 5.17517304058523E-02 , 0.583660586671171 
June, 1.71720384629263E-02 , 0.225477471158429 , 0.16496881523488 , 2.50322167416312E-02 , 2.48605658991404E-02 , 4.47087181095589E-02 , 0.515161153887788 
July, 0.021994710822956 , 0.152786280470466 , 0.205494160500974 , 2.71958062024276E-02 , 1.54556908117688E-02 , 4.90431551671585E-02 , 0.681836035511637 
August, 1.72067154101476E-02 , 0.14975188646558 , 0.17427331981689 , 2.38514150523612E-02 , 1.86854577014411E-02 , 0.032259988666303 , 0.533408177714575 
September, 3.14893222072338E-02 , 0.18160492146415 , 0.245402582504749 , 3.82363946391393E-02 , 2.63723518629948E-02 , 5.14425891164121E-02 , 0.944679666217013 
October, 2.81025820536143E-02 , 0.300012733063115 , 0.295735844969797 , 4.12561813550406E-02 , 4.40212037382765E-02 , 4.49271751699347E-02 , 0.871180043662044 
November, 2.99359625865709E-02 , 0.33821847968436 , 0.288550424536163 , 3.87088087520141E-02 , 5.26168074002866E-02 , 7.54194591517997E-02 , 0.898078877597126 
December, 2.88118140679298E-02 , 0.337257320157769 , 0.331241192335736 , 2.95394968643679E-02 , 7.08583393965089E-02 , 0.063745125303822 , 0.893166236105824 
Winter, 0.018790692460541 , 0.322840920578541 , 0.358179351024037 , 2.33850379516476E-02 , 4.37142296386311E-02 , 3.73857793820055E-02 , 1.64085175776402 
Spring, 0.012888168044037 , 0.34762544138771 , 0.227656100291646 , 2.15600759507011E-02 , 2.16306282446272E-02 , 3.73407337903261E-02 , 1.1857114600514 
Summer, 1.23604740192039E-02 , 0.217289323253583 , 0.148441874146078 , 0.016319007322751 , 1.12930660812947E-02 , 2.99752727260318E-02 , 1.13716360976676 
Autumn, 1.85118264323423E-02 , 0.335285042911252 , 0.245846822228802 , 2.47700802380614E-02 , 2.56593849564606E-02 , 3.82430466719112E-02 , 1.68457620534315 
Annual, 8.08693204024185E-03 , 0.303634529492283 , 0.288050043395241 , 1.06060124457781E-02 , 1.65246206293449E-02 , 3.02234677030946E-02 , 2.95361714549766 
