SUMMARY STATISTICS FOR: tesy.out

Analysis Start Date: 1948-01-01
Analysis End Date: 2025-03-15
Ensemble Member(s): ALL
-
Month,Mean,Maximum,Minimum,Median,Variance,IQR,Percentile
-
January,0.46401756598240446,4.053299999999999,-3.3164500000000006,0.46580000000000005,1.248134510969703,1.52515,1.8930900000000002
February,0.4275401159047007,3.9379500000000007,-3.1386499999999993,0.42285000000000006,1.1833827390320706,1.4853,1.83762
March,0.31502662756598243,3.5854,-3.1313000000000004,0.3189,1.051537087179883,1.3941500000000002,1.64023
April,0.011376818181818186,2.9752500000000004,-2.7958,0.005550000000000003,0.7412714956784756,1.1623625,1.1201599999999994
May,-0.2241174193548387,2.6519999999999997,-2.7987500000000005,-0.23135,0.6148104761938412,1.0654,0.7808899999999998
June,-0.4389872727272728,1.9512,-2.6866499999999998,-0.44595,0.4833509968205691,0.9384625000000002,0.45349499999999976
July,-0.5143768621700882,1.4803,-2.5846999999999998,-0.51255,0.38518005210216605,0.8416500000000001,0.28496999999999983
August,-0.5273931085043989,1.3893,-2.4722,-0.5281499999999999,0.3591368351561476,0.82255,0.24395999999999973
September,-0.3226781515151515,2.4367000000000005,-2.71195,-0.32645,0.5292040453260789,0.9751749999999999,0.6060399999999996
October,0.0015842723004694831,3.0112999999999994,-2.97,-0.00012499999999999924,0.82297083211289,1.2325750000000002,1.178155
November,0.29618942424242434,3.7511500000000004,-3.1090499999999994,0.295875,1.1248243920753533,1.4512125000000002,1.6593649999999998
December,0.45188651026392945,4.326550000000001,-3.2763999999999998,0.4488999999999999,1.3058288413558192,1.5524000000000002,1.9168299999999996
Winter,0.4484356739875074,4.422600000000001,-3.5222,0.44565,1.248362914337433,1.523025,1.88614
Spring,0.03434228260869564,3.62265,-3.21905,0.007750000000000002,0.8527685277445304,1.2330124999999998,1.2335050000000003
Summer,-0.4941792094861663,1.9616000000000002,-2.748999999999999,-0.4986,0.4099860882630768,0.8650249999999998,0.3279400000000004
Autumn,-0.008194804156674665,3.7595499999999995,-3.1795,-0.050225000000000006,0.8890831961819755,1.2459125,1.2280699999999998
Annual,-0.007078976452431929,4.448950000000001,-3.6184499999999993,-0.08880000000000002,0.9595769555563957,1.28165,1.3086500000000005

Standard Deviations of Results
January,0.030160130025270022,0.2834217881532752,0.4263195368500017,0.03967442501158649,0.05040289010437649,0.05078215729958703,0.04798985205228282
February,0.022286549727563155,0.4179318694476409,0.2246963005925999,0.033618856316061665,0.049770123790034634,0.044591591135549294,0.03737635081170983
March,0.021005319105826734,0.37151707901521835,0.2989679079767593,0.027482539911733047,0.03099274845502298,0.03291849783936077,0.04289700572301061
April,0.02431567263397811,0.31350707727258725,0.2676078474185688,0.03257909605866927,0.023048391987875408,0.034519512145307026,0.029129459315270462
May,0.01583513451568968,0.4224902365735805,0.25839734422009836,0.02020216572548597,0.025288722860848708,0.030940911428075285,0.02774472742702658
June,0.012565257025380304,0.2996440555058619,0.17284770030289676,0.01871022447754169,0.016007960610404135,0.03012373181977954,0.028920243342682943
July,0.010997351401182642,0.14808717027480808,0.16726209971179967,0.015311678549394917,0.01109189097578534,0.02370711918390759,0.02364201979527126
August,0.009340971075921694,0.12862585276685246,0.17251249230128238,0.012912300337275317,0.012472285003602491,0.024082099160995074,0.021362546664664937
September,0.01666770683418071,0.3222412295160258,0.20509131502820876,0.018807511797151694,0.020033343022275874,0.028504177325437734,0.026456292257230573
October,0.019248295426844572,0.27635504337717454,0.2806141478970724,0.024970420000472556,0.020648772685289602,0.031467751349596,0.033919057696227384
November,0.022226029254821467,0.2659857655965824,0.27486241558277846,0.034493069956152055,0.03644467912022356,0.039566026699050814,0.03926507704054594
December,0.022887035196732807,0.2805404560843231,0.2912545965302522,0.023674670008259884,0.054629807515694115,0.04360435758040703,0.0487897233031712
Winter,0.014219607271556467,0.31617564738606924,0.3027118431776332,0.01950455075104269,0.03248296578115638,0.03181409868281673,0.02509542587803602
Spring,0.009535192214939182,0.34833967258984444,0.23646658854899563,0.014842085432984138,0.019386370056976035,0.022231519713011082,0.020961261293156792
Summer,0.007410900017245035,0.2875145909340951,0.13980343343423293,0.008886225295365854,0.007526172413172552,0.014562773602579944,0.015756186086740565
Autumn,0.01132157319655868,0.26026015350030063,0.23726030009253554,0.01360374488881646,0.015793138900207376,0.016229655533929254,0.02362350736025458
Annual,0.0052043148670892665,0.2870263881596951,0.2669763051283765,0.0078076885183772544,0.011734641220216396,0.012498099855578046,0.01278387656385963
