SUMMARY STATISTICS FOR: NoviSadTmaxOBS.txt

Analysis Start Date: 01/01/1961 
Analysis End Date: 31/12/1990 
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 2.07623574144487 , 15.4 ,-17 , 30.5134086440457 , 64.2411764705883 
February, 6.061875 , 22.4 ,-8 , 31.257483984375 , 171.158823529412 
March, 11.0690702087287 , 28.4 ,-5.5 , 43.32407181101 , 343.141176470588 
April, 17.4209803921569 , 31 , 4.5 , 26.0062068819685 , 522.629411764706 
May, 22.2034155597723 , 34.2 , 10.3 , 21.0345993396441 , 688.305882352941 
June, 25.3776470588235 , 36.1 , 12.9 , 19.6171474048443 , 761.329411764706 
July, 27.2322580645161 , 37.4 , 15 , 15.3207810491522 , 844.2 
August, 27.1962049335863 , 38.7 , 14.1 , 16.6300425234671 , 843.082352941176 
September, 23.591568627451 , 34.7 , 11.3 , 21.9262622452903 , 707.747058823529 
October, 18.1996204933586 , 30 , 5.2 , 26.5492218673599 , 564.188235294118 
November, 11.7125490196078 , 26.9 ,-2.6 , 33.2733719338715 , 351.376470588235 
December, 3.78804554079697 , 18 ,-9 , 24.8273902977363 , 117.429411764706 
Winter, 3.91265492498369 , 22.4 ,-17 , 31.4004921685945 , 333.227777777777 
Spring, 16.8921355498721 , 34.2 ,-5.5 , 51.1885506823935 , 1554.07647058824 
Summer, 26.6153452685422 , 38.7 , 12.9 , 17.9043936787436 , 2448.61176470588 
Autumn, 17.8385908209438 , 34.7 ,-2.6 , 50.5693381564251 , 1623.31176470588 
Annual, 16.3724387886597 , 38.7 ,-17 , 103.134628588393 , 5978.82941176469 
